id,idade,renda,cidade,categoria,nota,feedback
1,65,8912.27,Belo Horizonte,B,,Bom
2,51,2668.9,Belo Horizonte,B,0.6,Ruim
3,35,,Vitória,B,4.4,Regular
4,45,3417.56,São Paulo,B,1.3,Bom
5,56,7536.57,Rio de Janeiro,A,8.6,
6,53,7825.52,São Paulo,B,8.2,Regular
7,28,3045.86,Belo Horizonte,B,3.8,Regular
8,20,9873.58,Rio de Janeiro,B,4.6,Bom
9,21,3103.06,Vitória,B,8.0,Regular
10,56,7666.91,Belo Horizonte,A,9.2,Bom
11,64,7027.34,São Paulo,B,5.7,Regular
12,37,7795.79,São Paulo,A,1.9,Ruim
13,49,5867.81,São Paulo,A,7.3,Bom
14,22,11510.2,Belo Horizonte,A,9.3,Ruim
15,67,5253.13,Vitória,A,,Ruim
16,52,5771.71,Belo Horizonte,A,9.4,Bom
17,23,9292.75,São Paulo,A,7.9,Regular
18,61,7964.48,Vitória,B,5.7,Bom
19,44,2399.25,Belo Horizonte,B,1.7,Ruim
20,18,1852.61,São Paulo,A,3.2,Regular
21,20,12677.68,Rio de Janeiro,A,4.0,Regular
22,29,11095.14,Rio de Janeiro,B,1.6,Bom
23,22,4282.48,Rio de Janeiro,A,8.5,Regular
24,40,8825.12,Belo Horizonte,A,3.4,Bom
25,45,12667.44,Belo Horizonte,B,2.9,Regular
26,25,8092.73,Belo Horizonte,B,1.9,Bom
27,51,4650.38,Belo Horizonte,A,8.1,Ruim
28,24,3789.53,Vitória,B,0.4,Regular
29,24,9293.1,Belo Horizonte,A,1.6,Regular
30,48,3620.39,São Paulo,B,0.6,Regular
31,33,12029.13,Belo Horizonte,B,6.8,Bom
32,66,4649.39,Belo Horizonte,B,9.7,Regular
33,39,6169.55,São Paulo,A,8.3,Ruim
34,55,12811.09,Vitória,A,2.7,Ruim
35,39,4279.98,Vitória,A,9.5,Bom
36,42,10483.31,Rio de Janeiro,A,1.5,Regular
37,36,2568.97,Rio de Janeiro,B,4.0,Regular
38,16,10346.35,Vitória,A,1.2,Ruim
39,38,4752.58,Belo Horizonte,A,5.9,Regular
40,43,1804.37,São Paulo,B,0.7,Bom
41,27,5861.65,Vitória,A,4.0,Ruim
42,34,11128.05,São Paulo,A,2.0,Ruim
43,63,6019.67,São Paulo,A,6.5,Bom
44,65,1632.99,Belo Horizonte,B,,Bom
45,40,12584.2,Vitória,A,1.1,Ruim
46,35,4689.93,São Paulo,A,8.3,Bom
47,33,2394.48,Rio de Janeiro,B,4.1,Ruim
48,51,12201.96,Rio de Janeiro,B,4.3,Bom
49,35,12839.73,Vitória,B,5.3,Ruim
50,67,9127.9,Rio de Janeiro,B,3.9,Bom
51,17,4500.46,São Paulo,A,6.7,Ruim
52,47,12173.22,Rio de Janeiro,A,1.3,Regular
53,29,12319.25,Vitória,B,6.7,Regular
54,33,10818.22,Vitória,A,1.0,Ruim
55,33,7381.87,Belo Horizonte,B,7.7,Regular
56,48,6880.24,Rio de Janeiro,B,5.2,Bom
57,54,3774.94,São Paulo,B,4.5,Ruim
58,23,10319.9,São Paulo,B,6.9,Regular
59,31,10501.56,Vitória,B,7.0,Regular
60,61,1432.55,Vitória,A,1.4,Regular
61,49,7947.58,Rio de Janeiro,B,6.1,Bom
62,37,4115.82,Belo Horizonte,A,6.4,Ruim
63,42,6347.84,São Paulo,B,4.8,Ruim
64,43,4561.09,Vitória,B,8.9,Ruim
65,68,2600.1,Rio de Janeiro,B,5.8,Ruim
66,55,5054.9,Vitória,B,2.1,Regular
67,33,3594.31,Vitória,B,4.0,Bom
68,52,5701.97,São Paulo,B,9.0,Regular
69,39,9908.86,São Paulo,B,5.6,Ruim
70,68,2945.42,Vitória,B,3.7,Ruim
71,58,9364.44,Rio de Janeiro,A,5.5,Bom
72,54,2672.23,Vitória,A,9.2,Ruim
73,62,4806.91,Vitória,A,4.2,Regular
74,52,5942.07,São Paulo,B,4.7,Regular
75,23,11624.68,Rio de Janeiro,B,0.5,Ruim
76,62,8489.08,Belo Horizonte,B,9.1,Ruim
77,55,6362.43,Vitória,A,7.0,Regular
78,26,7207.49,Rio de Janeiro,A,7.7,Ruim
79,22,7623.41,Rio de Janeiro,A,4.2,Bom
80,42,4287.8,Vitória,B,5.6,Bom
81,50,10399.95,São Paulo,A,8.7,Bom
82,44,12500.22,Belo Horizonte,B,2.1,Bom
83,20,12011.4,São Paulo,B,1.2,Ruim
84,47,12114.26,São Paulo,B,5.1,Bom
85,33,6944.12,Belo Horizonte,B,3.5,Ruim
86,22,5104.14,Belo Horizonte,A,0.5,Regular
87,59,1462.99,Vitória,A,7.5,Regular
88,61,2142.14,Rio de Janeiro,B,6.2,Regular
89,20,3724.19,São Paulo,B,5.9,Regular
90,46,8957.87,Vitória,B,4.4,Regular
91,21,9354.02,Rio de Janeiro,A,1.8,Ruim
92,29,2287.42,Belo Horizonte,A,1.5,Regular
93,57,5275.82,São Paulo,A,3.3,Ruim
94,60,9238.48,Vitória,B,1.9,Ruim
95,44,6477.29,Belo Horizonte,A,3.4,Bom
96,38,8634.17,São Paulo,A,4.8,Regular
97,41,9452.65,Vitória,B,9.4,Ruim
98,22,8846.97,Vitória,B,1.6,Ruim
99,29,12095.96,Rio de Janeiro,A,2.0,Regular
100,30,8251.32,Vitória,B,8.4,Regular
101,26,10392.97,São Paulo,A,1.9,Regular
102,46,9624.78,Belo Horizonte,A,4.4,Bom
103,33,10460.06,Vitória,B,3.0,Bom
104,42,8755.23,Belo Horizonte,A,4.1,Regular
105,45,6207.15,São Paulo,A,1.7,Ruim
106,21,9754.63,Belo Horizonte,B,1.5,Bom
107,47,3626.95,Vitória,A,4.3,Regular
108,58,3136.6,Belo Horizonte,A,5.5,Bom
109,64,4077.68,Belo Horizonte,A,7.9,Bom
110,61,9330.16,Belo Horizonte,B,1.1,Regular
111,49,3672.66,Rio de Janeiro,A,3.1,Bom
112,51,12868.63,Vitória,B,6.1,Regular
113,30,6966.41,Rio de Janeiro,A,5.8,Bom
114,56,2649.69,São Paulo,A,7.1,Regular
115,42,3915.41,São Paulo,A,5.3,Ruim
116,63,1622.77,Belo Horizonte,A,6.4,Ruim
117,68,10741.42,Rio de Janeiro,A,5.9,Ruim
118,18,11178.49,São Paulo,A,0.9,Ruim
119,34,12838.32,Belo Horizonte,A,8.8,Regular
120,17,8280.52,Rio de Janeiro,B,2.4,Bom
121,39,7260.55,Rio de Janeiro,A,4.9,Regular
122,16,1532.06,São Paulo,A,9.5,Regular
123,62,9983.68,São Paulo,A,3.2,Regular
124,25,4131.49,Vitória,B,3.3,Bom
125,36,12000.91,,B,2.4,Ruim
126,57,3506.47,Belo Horizonte,A,3.6,Regular
127,29,1396.18,São Paulo,B,9.8,Regular
128,39,11602.24,Rio de Janeiro,B,3.3,Bom
129,53,2738.61,Belo Horizonte,B,1.7,Regular
130,30,9969.84,Vitória,B,7.4,Ruim
131,36,6483.61,Rio de Janeiro,A,3.2,Ruim
132,24,10197.57,Vitória,B,9.2,Bom
133,41,5766.68,Belo Horizonte,B,0.7,Bom
134,16,7092.23,Rio de Janeiro,B,6.2,Regular
135,68,8650.53,Belo Horizonte,B,3.6,Ruim
136,28,1578.77,Rio de Janeiro,A,5.9,Ruim
137,70,6386.77,Belo Horizonte,A,2.1,Bom
138,43,11938.84,São Paulo,A,9.5,Ruim
139,59,10960.91,Belo Horizonte,A,5.7,Regular
140,30,6225.72,Rio de Janeiro,A,0.9,Bom
141,16,11647.13,Rio de Janeiro,B,8.0,Regular
142,55,10116.36,São Paulo,A,1.7,Ruim
143,58,11693.66,Belo Horizonte,B,4.9,Regular
144,69,8820.56,Rio de Janeiro,B,0.9,Ruim
145,39,2566.8,Belo Horizonte,A,0.2,Regular
146,19,2283.61,São Paulo,B,3.5,Ruim
147,60,,Vitória,A,3.1,Bom
148,46,1689.86,Rio de Janeiro,A,7.7,Bom
149,53,8912.49,Belo Horizonte,A,1.0,Ruim
150,55,1453.04,Belo Horizonte,A,6.6,Ruim
151,36,10267.87,Rio de Janeiro,B,4.0,Ruim
152,53,3678.99,São Paulo,A,9.1,Ruim
153,36,1754.83,São Paulo,B,9.0,Ruim
154,68,2266.15,Rio de Janeiro,A,4.8,
155,46,7662.66,Belo Horizonte,B,6.2,Bom
156,42,6450.68,Rio de Janeiro,A,6.4,Bom
157,64,2399.68,Rio de Janeiro,A,8.1,Bom
158,22,11502.83,São Paulo,B,9.6,Bom
159,42,9757.17,Vitória,B,1.6,Bom
160,35,2277.5,Vitória,A,4.2,Bom
161,54,12713.68,São Paulo,A,8.9,Regular
162,38,4977.5,Rio de Janeiro,A,7.9,Regular
163,48,11290.19,São Paulo,B,4.2,Ruim
164,57,3883.39,Belo Horizonte,B,2.8,Bom
165,24,11071.14,Belo Horizonte,B,9.9,Bom
166,44,3580.32,Rio de Janeiro,B,0.4,Bom
167,47,1321.71,São Paulo,A,3.0,Ruim
168,48,9866.58,Belo Horizonte,A,5.4,Regular
169,44,9321.26,Vitória,A,1.4,Regular
170,70,10187.16,Belo Horizonte,A,3.7,Regular
171,36,6682.62,Belo Horizonte,A,3.7,Ruim
172,17,6712.06,Vitória,A,7.1,Regular
173,62,2530.4,Vitória,A,9.7,Regular
174,62,6062.12,Belo Horizonte,B,,Regular
175,64,12049.15,Rio de Janeiro,A,3.9,Bom
176,51,5430.32,Rio de Janeiro,A,8.0,Bom
177,63,3336.59,Rio de Janeiro,B,3.8,Bom
178,32,8701.57,Belo Horizonte,A,3.7,Ruim
179,28,8282.53,Vitória,A,4.9,Ruim
180,67,3618.01,São Paulo,A,6.0,Ruim
